recommendationid,review,sentiment,emotion
176499381,again i cannot stress enough that Campaign mode is too much i get the challenge but really map is really freaking RNG wasted 2-3 hous on the easy mode cant even tell if its easy its fairy similar to other difficulty that second part where u got to build freaking boats again -_- first one was okay but the second one was sheesh every 3 days u get attacked u have so little resources asside wood and stone and u want to put 6 boats 80 crossbow 35 spearman 35 foot knight ? atleast balance the map place IRON nodes like whats the use of eternal IRON workshop if there ist a single one in campaign ? u wanted players to this game ? balance the game pros of this game 1 challenging 2 it really is what title game says 3 brings back the RTS vibe cons are 1. maps RNG 2. stone and iron nodes are far from your fort 3. since day 1 they have not reduce the upgrade req for buildings 4. u cannot move your fort its always at the middle of some open field zero mountain zero water source to protect you balance the game and this game has potential,"[{'label': '2 stars', 'score': 0.44354552030563354}]","[{'label': 'sadness', 'score': 0.5909308195114136}]"
176497178,"if you like RTS, City Builder, Tower Defense, and Resources management... Then this game is for you.","[{'label': '5 stars', 'score': 0.35123148560523987}]","[{'label': 'neutral', 'score': 0.9184520244598389}]"
176497107,Fantastic!,"[{'label': '5 stars', 'score': 0.9228267669677734}]","[{'label': 'joy', 'score': 0.9700692892074585}]"
176496157,i'm a pretty casual RTS tower defense enjoyer this game is really really sweaty mission 4 is where i'm having my trouble the scenario is really cool . the gameplay is super solid but the difficulty spike is really unfun post patch C&C3 campaign unfun this is the kind of strategy game that placing an extra lumber mill down or placing a wall wrong might cost you a 2 hour run,"[{'label': '3 stars', 'score': 0.43160614371299744}]","[{'label': 'joy', 'score': 0.9865586757659912}]"
176494748,"This game is too stressful, even on the easiest difficulty. One needs to constantly produce armies, buildings, etc without respite. If you don't, you lose the pace and the enemies hordes will quickly become too numerous to be kept under control. It doesn't help that the production of crystals needed for magic WMD is hidden behind high-level tech trees (sure, you can find them by destroying enemy buildings around the map, but these are quite well protected after the first two levels). Others will probably like the stress management, but it's not for me.","[{'label': '2 stars', 'score': 0.6179879307746887}]","[{'label': 'neutral', 'score': 0.47985443472862244}]"
176490003,amazing game i know how im gonna be spending all my free time over the next week lol,"[{'label': '5 stars', 'score': 0.8431710004806519}]","[{'label': 'joy', 'score': 0.5954366326332092}]"
176485776,"First impression, it's cute and well designed. If you're new to this sort of RTS you might find it very hard at first, but definitely rewarding. Though not planned, multiplayer would be amazing","[{'label': '4 stars', 'score': 0.584700882434845}]","[{'label': 'joy', 'score': 0.961036205291748}]"
176484130,"An uninspired Stronghold clone with worse graphics. If you have played any of the Stronghold games, you have played this game. There's nothing here to differentiate it from any of the Stronghold games, aside from worse graphics and slightly different mechanics. Same concept though. This time around the Dev is a toxic, smug unhelpful person who disregards complaints, balance issues and generally seems like an unpleasant person who can't accept criticism about their game. I'll say this though, when there are hundreds of moving units, i have yet to see a PC Bog down, so it seems like it's optimized very well.","[{'label': '2 stars', 'score': 0.413532555103302}]","[{'label': 'disgust', 'score': 0.8749014735221863}]"
176480163,"Really solid game, as a fan of TAB this is really doing it for me. Hotkeys are done really well for this game as well and it does have real time pause.","[{'label': '5 stars', 'score': 0.6079809665679932}]","[{'label': 'neutral', 'score': 0.7928140163421631}]"
176478103,"I have played this game in EA, and boy has it delivered on release. I am not even half way through the campaign, but it's just astonishing. Also, for me, unit balance was very important. During EA melee units were just a source of problems, spreading disease. Now they actually make sense, because of how fast they regen, AND the attacking waves include archers, who prefer focusing units behind the walls, which makes archer spam less viable, or even better, forces you to have melee units to draw fire on them. There are still a few units with limited to no use, like axeman, horseman and footknight (the alternatives are just better), but the game is already in a very good spot. Content wise, campaign is story rich, however the cutscenes could use a button to skip to next animation. I also hope we get some extended research, more naval team, etc. I know devs won't do it, but I will ask once again for multiplayer :)","[{'label': '4 stars', 'score': 0.7359689474105835}]","[{'label': 'surprise', 'score': 0.9169129133224487}]"
176477849,"I want to lead this by saying I SUCK at RTS games, partially because I am often a lazy gamer. To me, they've always felt like trying to cook dinner while cleaning house and helping someone with homework at the same time while the pets are knocking things off tables. As you may imagine, this game has been kicking my ass. Now, I'm going to recommend it anyway. Why? Because this is one of the very few RTS games that makes me WANT to try harder and get better at working in four places at once. The economy is the right level of complex, the buff buildings make a massive difference without being obnoxious to place, the fortifications are impactful and straightforward, the units on both sides have good variety, and the combat feels fantastic to control and observe. There are obvious and apt comparisons to They Are Billions, but there are some major differences that need to be addressed. Most resource deposits eventually run out, population and food are consumed instead of being static ""capacity"" numbers, the scale of the map and your economy is much larger, and, most importantly to me, the game is actually balanced around losing units and buildings on a regular basis. A group of spearmen will handily hold a breach in the walls, often trading one of their lives for 30 or so rebels or just body blocking while the remaining archers continue shooting. Units are generally cheap and quick to train while still being much stronger than the horde units you'll be facing. I still die much earlier than I should, but I can at least see the solutions to apply next time. Thankfully, it's not just ""click more, faster"" like too many RTS games feel. One day, I'll survive the hulk wave without being crippled.","[{'label': '3 stars', 'score': 0.34277188777923584}]","[{'label': 'disgust', 'score': 0.5663442611694336}]"
176477701,"Right now, no. The balancing is way off on missions. On level 3 the difficult ramps up insanely. As a new player, unfamiliar with the game, it was too much frustration to continue. The first level buildings are upgraded, two new resources are used, a whole host of new buildings come into play and your hit by a constant stream of enemies while trying build up to face the larger waves. Plus, in the forum a similar observation is raised and a dev leaves perhaps one of the most asinine remarks I've seen from a developer (to paraphrase) ""I completed the level on the hardest level and beat it first time"". Well woopie-di-do and lardy dar for you, bucko. A player takes the time to make a valid observation, expressing how there may be a hurdle to new players, and the dev blows them off with that BS attitude. Not everyone is in an indoctrinated acolyte of the Cult of Difficult and maybe, just maybe, the dev could take their observation and consider it as free product feedback rather than launch a ""git gud"" barrage. I like the game, genuinely has funny cut scenes, cute functional graphics, and a solid RTS, but it definitely needs better balancing on levels so far, and the devs attitude stinks if that was their response. I hope that was a one off.","[{'label': '2 stars', 'score': 0.5150083303451538}]","[{'label': 'neutral', 'score': 0.564274251461029}]"
176476623,fun game,"[{'label': '4 stars', 'score': 0.5154638886451721}]","[{'label': 'joy', 'score': 0.9594733119010925}]"
176474747,Fun and Frustrating just what you need for a Sunday :-). Really enjoying the game. Can see many more hours of play.,"[{'label': '5 stars', 'score': 0.5042977333068848}]","[{'label': 'joy', 'score': 0.6434226036071777}]"
176474466,"Easy to lose yourself, very immersing and entertaining.","[{'label': '5 stars', 'score': 0.6748816967010498}]","[{'label': 'joy', 'score': 0.596424400806427}]"
176471928,Too difficult !!,"[{'label': '2 stars', 'score': 0.4558732211589813}]","[{'label': 'sadness', 'score': 0.5328271389007568}]"
176471146,"Hero's Hour, Starcraft, and now I am playing this game. I thoroughly enjoy it, and the campaign is humorous and challenging. Now that I am starting to get it, I gleefully anticipate completing the next missions.","[{'label': '5 stars', 'score': 0.5967099070549011}]","[{'label': 'joy', 'score': 0.9867581725120544}]"
176471015,"People are comparing this game to a lot of things, but to me playing the campaign, brings me back to playing Majesty as a kid, more than anything else. I'm glad I spontaneously got this for the 1.0 drop.","[{'label': '1 star', 'score': 0.26940497756004333}]","[{'label': 'joy', 'score': 0.9536278247833252}]"
176468024,"Diplomacy is Not an Option blends Age of Empires and They Are Billions with RTS strategy and tower defense. Gather resources, build armies, and defend against relentless waves in this intense and challenging game.","[{'label': '5 stars', 'score': 0.4880118668079376}]","[{'label': 'neutral', 'score': 0.6430988907814026}]"
176466573,"This game is now the 1.0 version and feature complete. I am so glad I purchased it in early access, and have it now to enjoy with the completed campaign. The game I have found is fun, engaging, and well balanced. The devs really have a gem of a game here, and you are missing out if you dont give it a go!","[{'label': '5 stars', 'score': 0.8198344707489014}]","[{'label': 'joy', 'score': 0.9605212807655334}]"
176466282,"Ever play Starcraft 2 Terran campaign? Remember the mission where you are in the middle of the map, and there are infected terran and zerg in all 360 directions, and the goal is to wipe out all enemies surrounding you? (attack during the night) Well this game is basically that SC2 mission/They Are Billions with it's own unique combat system and econ etc. if you enjoyed that mission, this game is that mission x10. Devs have an enjoyable British cheeky sense of humor. Solid seemingly balanced game after 6h. Just gimme Starcraft 3 dammit.","[{'label': '4 stars', 'score': 0.4342457354068756}]","[{'label': 'joy', 'score': 0.8654091358184814}]"
176466253,i like the game play... !!,"[{'label': '4 stars', 'score': 0.48784053325653076}]","[{'label': 'joy', 'score': 0.9852699637413025}]"
176465364,"I can't recommend this. It is micromanaging in the worst possible ways. You manually shut the gates, otherwise enemy troops just walk right in, but if you shut the gate, then resource gathering outside the walls. I don't know why I can't build a farm, It let's me place it, then disappears, so I am always struggling to get my village fed. I get that the waves come, those are fine, but after clearing the map of enemy peasants, why do random one person attacker show up in the middle of the village? The mini map shows the location of the attack, but it disappears and then you have to wait for the game to announce it again. I don't want to have to hunt for literally 1 enemy that is running loose in the middle of my village. I bought this early access and had a lot more hope for it, but it is more of a chore than an enjoyable experience.","[{'label': '2 stars', 'score': 0.5430490970611572}]","[{'label': 'disgust', 'score': 0.8882521390914917}]"
176456390,It is good,"[{'label': '4 stars', 'score': 0.47131893038749695}]","[{'label': 'joy', 'score': 0.9257813692092896}]"
176455832,Wonderful.,"[{'label': '5 stars', 'score': 0.8042759895324707}]","[{'label': 'surprise', 'score': 0.5488630533218384}]"
176454149,"I have been waiting for this game to release and I'm not dissapointed at all. Game is very fun to play, it has its own atmosphere and gameplay. Campaign is good, and the building proccess of your own town and defense is great too. Would highly recommend for people that enjoy this kind of games, this game is totally worth buying.","[{'label': '5 stars', 'score': 0.8062216639518738}]","[{'label': 'joy', 'score': 0.9022603034973145}]"
176453403,"Very fun, reminds me of They Are Billions.","[{'label': '5 stars', 'score': 0.6314173340797424}]","[{'label': 'joy', 'score': 0.9443328380584717}]"
176447407,AOE with a fresh twist and simplified objectives. The wave/survival format makes it fun for RTS turtles.,"[{'label': '4 stars', 'score': 0.5584086775779724}]","[{'label': 'joy', 'score': 0.6103813648223877}]"
176443301,Unfortunately the campaign balancing is terrible. Until its more reasonable I would not recommend. Its a shame as it looked like it had promise but its basically a bad version of They are billions.,"[{'label': '2 stars', 'score': 0.5124780535697937}]","[{'label': 'disgust', 'score': 0.8275846242904663}]"
176442064,"I do not enjoy this game at all... I struggle alot with the overview of the resources / management of vilagers. I have builders, but where are they? Has my fishery run out of fish? Apperantly so! What dictates how many workers I get each day? I can't get a grip of how the food demand/production equation works. There is a stats panel but I dont find any meaningful info there. Summary is that I feel like I have no idea what happens with the macro in this game. In AoE2 I have alot going on but I still know whats going on with my resources all the time. Maybe it's a combination of the visual style of the game and the hud that confuses me? It's very frustrating. The tutorial was imo way to short and did not explain enough of the systems. And it's way to rushy for me. The day timer is too short and the constant guessing where the enemy will come from is annoing. The micro becomes very cumbersome just opening gates, closing gates, putting archers in towers, taking them down from towers and send them to another tower. Oh and the cutscenes between missions. It's nice that there is some semblance of a story. But dang, they are slow and uneventful to watch. Just found myself skipping all of them. They need to be sped up 10x","[{'label': '2 stars', 'score': 0.5477738380432129}]","[{'label': 'sadness', 'score': 0.5487048029899597}]"
176441382,slimey,"[{'label': '3 stars', 'score': 0.34337955713272095}]","[{'label': 'neutral', 'score': 0.5252061486244202}]"
176441282,Loving it so far,"[{'label': '5 stars', 'score': 0.5824152827262878}]","[{'label': 'joy', 'score': 0.8954899907112122}]"
176440476,"“Listen, strange women lyin’ in ponds distributin’ swords is no system for a basis of government. Supreme executive power derives from a mandate from the masses, not from some farcical aquatic ceremony.” – Dennis from Monty python. A chill version of They Are Billions (i havent played it but i've watched Bahroo play it) with a relaxing atmosphere and well built strategy game in mind. I have had a blast so far and i recommend this game if you liked the concept they follow.","[{'label': '5 stars', 'score': 0.3143344521522522}]","[{'label': 'joy', 'score': 0.9658715724945068}]"
176439925,Demo was Fun. Sadly Full Release is unplayable on Linux and as far as i know - Dev won't bother to chage that. Not even making sure it runs trough Proton (Which it did for the Demo) Get it if you run Windows and like RTS/Tower Defense. Avoid if on Linux (At this time) Update: Still isn't running but dev is helping me figure it out. That's a first and i really appreciate that.,"[{'label': '3 stars', 'score': 0.34630709886550903}]","[{'label': 'sadness', 'score': 0.9301300048828125}]"
176439327,really interesting game but in the sandbox mode they should add multiple difficulties to the same maps and more different types of enemies,"[{'label': '4 stars', 'score': 0.579433798789978}]","[{'label': 'surprise', 'score': 0.5669271349906921}]"
176437697,It's gouda.,"[{'label': '5 stars', 'score': 0.31143826246261597}]","[{'label': 'neutral', 'score': 0.8632611632347107}]"
176436989,"It's like they are billions, but medieval . Game has nice humor (in campaign)","[{'label': '4 stars', 'score': 0.4780808985233307}]","[{'label': 'joy', 'score': 0.541502833366394}]"
176436153,Great game,"[{'label': '5 stars', 'score': 0.6704409122467041}]","[{'label': 'joy', 'score': 0.8924630880355835}]"
176434366,This is my favorite survival rts out there.,"[{'label': '5 stars', 'score': 0.9277826547622681}]","[{'label': 'neutral', 'score': 0.49599289894104004}]"
176432409,"Been waiting to get this game until the 1.0 release but I'm not sure it is ready.Granted I have not made it too far into the game yet and and enjoying the base building/exploration parts of the game. My issues lie exclusively with the combat/npc pathfinding so far as I am already having issues with their pathfinding causing them to get stuck and not be functionally useless until I can unstick them or destroy what they are stuck on. Controlling the combat troops isn't what I would want either as there doesn't seem to be any kind select all and the ability to create seperate groups was ignored in the tutorial. When commanding troops they can sometimes just choose not to move or if you select an enemy who dies they will stand there as if a whole group isn't behind them. I am optimistic about the game as the basis is enjoyable and most of my gripes are probably easily patchable but I was waiting for the 1.0 release specifically to avoid things like this, but I will probably give it more time soon and update if my opinion changes. Update:I've played a bit more now and the issues above all still feel prevalent, I also have becoming irritated with the cutscenes which seem to assume the average player has the reading speed of a decomposing corpse and love extremely long gaps between everything, which ruins what would otherwise be decently amusing scenes. I'm probably gonna keep coming back to it as it gives me nostalgia about halo wars as a kid and their is a good game underneath these issues, but I still can't really recommend it to others YET (I'm choosing to be optimistic despite the games industry regularly proving that to be a dumb choice)","[{'label': '3 stars', 'score': 0.5281702280044556}]","[{'label': 'neutral', 'score': 0.3938550353050232}]"
176431011,"Fun little game, actually engaging. Totally recommend it.","[{'label': '5 stars', 'score': 0.5538211464881897}]","[{'label': 'joy', 'score': 0.971836507320404}]"
176429573,MAKE IT Multi-Player........,"[{'label': '5 stars', 'score': 0.46712127327919006}]","[{'label': 'neutral', 'score': 0.9278189539909363}]"
176422833,"Great game, music is awesome. Looking forward to playing through the rest of the game.","[{'label': '5 stars', 'score': 0.7493540644645691}]","[{'label': 'joy', 'score': 0.9571529626846313}]"
176422668,Good but gets repetitve pretty quick,"[{'label': '3 stars', 'score': 0.4724377691745758}]","[{'label': 'neutral', 'score': 0.7783729434013367}]"
176418685,"Good for player looking forward colorful art style, base building and a little massive battles","[{'label': '4 stars', 'score': 0.6431460380554199}]","[{'label': 'joy', 'score': 0.9212033748626709}]"
176417289,Absolutely amazing!,"[{'label': '5 stars', 'score': 0.9672660231590271}]","[{'label': 'surprise', 'score': 0.6539075374603271}]"
176413338,"great game, great price what more could you want.","[{'label': '5 stars', 'score': 0.8247185349464417}]","[{'label': 'joy', 'score': 0.5892426371574402}]"
176411484,Absolutely my favourite game of all time. And this is from someone who has been gaming since 1989.,"[{'label': '5 stars', 'score': 0.9830474257469177}]","[{'label': 'joy', 'score': 0.6899340152740479}]"
176411065,"""Hey nice to meet you, lets be friends!"" ""Ohh hi nice to meet you too! I have to say i really dislike cats for some reason"" ""..."" *Slash* *Stab* Diplomacy really was not an option after all.","[{'label': '1 star', 'score': 0.41663694381713867}]","[{'label': 'joy', 'score': 0.9153764843940735}]"
176401759,"Fun, quirky, and refreshing.","[{'label': '5 stars', 'score': 0.4934449791908264}]","[{'label': 'joy', 'score': 0.928223192691803}]"
176398205,Cant get the game to load past 60% lol,"[{'label': '1 star', 'score': 0.3009680211544037}]","[{'label': 'neutral', 'score': 0.888454794883728}]"
176396049,"AI could use work, attackers will go for the wall you built over the hole they put in it and you have to baby your troops to make sure they attack the enemy, other wise fun and entertaining game!","[{'label': '4 stars', 'score': 0.4706321656703949}]","[{'label': 'joy', 'score': 0.8079273700714111}]"
176393987,I hate AOE but the most similar game I can think of to this is Age of Empires just the game is a lot more chill. I personally hate AOE but love this game the fact you can pause and speed up the game and go at your own pace makes it very enjoyable.,"[{'label': '4 stars', 'score': 0.595683753490448}]","[{'label': 'joy', 'score': 0.737230658531189}]"
176393429,"Stuck at 60% Load, obviously i'm not alone .... great purchase so far -,-","[{'label': '1 star', 'score': 0.2915226221084595}]","[{'label': 'sadness', 'score': 0.5063164830207825}]"
176389790,"The definitive ""We're fucked"" experience.","[{'label': '5 stars', 'score': 0.7030047178268433}]","[{'label': 'anger', 'score': 0.5790079236030579}]"
176389402,Great game,"[{'label': '5 stars', 'score': 0.6704409122467041}]","[{'label': 'joy', 'score': 0.8924630880355835}]"
176389338,FUN AF!,"[{'label': '5 stars', 'score': 0.4173116981983185}]","[{'label': 'joy', 'score': 0.9022397994995117}]"
176388308,Shoutout to the voice actors for a jaw-droping performance. Truly inspiring!,"[{'label': '5 stars', 'score': 0.8949986100196838}]","[{'label': 'surprise', 'score': 0.5232094526290894}]"
176387463,Excellent game. Tons of style and a lot of fun to be had.,"[{'label': '5 stars', 'score': 0.8587130308151245}]","[{'label': 'joy', 'score': 0.9690937399864197}]"
176384833,"They made it to release, thats a win in my book. *Also a great fucking game, time to sink hours back into it now that its 1.0*","[{'label': '5 stars', 'score': 0.4455696642398834}]","[{'label': 'joy', 'score': 0.7438322305679321}]"
176381348,This Game would be B E Y O N D EPIC!!! if it had multiplayer.,"[{'label': '3 stars', 'score': 0.27858766913414}]","[{'label': 'neutral', 'score': 0.7240144610404968}]"
176380305,A great strategic experience! Diplomacy is Not an Option offers unique tactical elements and exciting battles. It's fun to play and the strategy possibilities are endless!,"[{'label': '5 stars', 'score': 0.6827642321586609}]","[{'label': 'joy', 'score': 0.9667195081710815}]"
176380276,"Exciting game! Interesting mechanics and a fascinating plot make ""Diplomacy is Not an Option"" a great choice for strategy fans. Every battle is a test of wits!","[{'label': '5 stars', 'score': 0.632917046546936}]","[{'label': 'joy', 'score': 0.9405203461647034}]"
176380188,"Strategy at its finest! Diplomacy is Not an Option offers exciting gameplay with a unique approach to tactics. Every decision matters, and the battles are simply epic!","[{'label': '5 stars', 'score': 0.8182500004768372}]","[{'label': 'joy', 'score': 0.6814111471176147}]"
176379004,A creative approach to strategy! The game successfully combines elements of construction and combat. The ability to manage resources and fight at the same time makes each match unpredictable and exciting.,"[{'label': '5 stars', 'score': 0.5214119553565979}]","[{'label': 'joy', 'score': 0.5683380961418152}]"
176376672,"Liked the early access content, excited for the campaign. Like the theme, art, and mechanics. Its not too difficult to get a hang of either. Great game","[{'label': '4 stars', 'score': 0.6435105800628662}]","[{'label': 'joy', 'score': 0.9664984345436096}]"
176376569,Pretty good.,"[{'label': '4 stars', 'score': 0.6060317754745483}]","[{'label': 'joy', 'score': 0.734294593334198}]"
176376241,Yes,"[{'label': '5 stars', 'score': 0.37907874584198}]","[{'label': 'neutral', 'score': 0.9247939586639404}]"
176374022,"Great strategy, I really like these games ))) It's always nice to play cool games ))) I definitely recommend everyone to play this game ))))","[{'label': '5 stars', 'score': 0.798132598400116}]","[{'label': 'joy', 'score': 0.895849347114563}]"
176373114,"Once saw this game at the top of the charts when it was in early access ( it currently has version 1.0 ). I had a chance to play it and I can say that the possible scale of battles is amazing. As if I find myself on the battlefield of Middle-earth. A worthy representative of strategies! However, I would like to note that for some reason I did not count my achivki when playing. I think this will be fixed ( or perhaps I am unique hm )","[{'label': '4 stars', 'score': 0.5496191382408142}]","[{'label': 'surprise', 'score': 0.8320236206054688}]"
176372295,Finally..,"[{'label': '5 stars', 'score': 0.5211660265922546}]","[{'label': 'neutral', 'score': 0.8030465841293335}]"
176369086,"Excellent RTS with wave containment and development, a pleasant atmosphere and a funny storyline. The complexity is sometimes amazing, you expect a small wave, but a horde is rushing at you so that you have to hit your own and enemies at the gate with an orbital strike, destroying your own walls.","[{'label': '5 stars', 'score': 0.5919875502586365}]","[{'label': 'joy', 'score': 0.474204421043396}]"
176367751,ITS FINALLY OUT!,"[{'label': '1 star', 'score': 0.3803348243236542}]","[{'label': 'neutral', 'score': 0.6221908926963806}]"
176365233,Game would be an easy 10/10 IMO if it had coop. Gameplay is kinda similar to AOE 2,"[{'label': '3 stars', 'score': 0.5806203484535217}]","[{'label': 'neutral', 'score': 0.872024416923523}]"
176364814,This game is only going to get better,"[{'label': '3 stars', 'score': 0.36355894804000854}]","[{'label': 'neutral', 'score': 0.8576198816299438}]"
176362333,"Not a fun game. Premature 1.0 release, so it's abandonware. Avoid. Edit: To your question, developer ... sure, I can elaborate: your game is boring, has nearly no content and feels incomplete, not thought through. Maybe try playing it for more than an hour and then play any other successful game of the same genre to figure out what you are missing for a positive review.","[{'label': '1 star', 'score': 0.8293989896774292}]","[{'label': 'sadness', 'score': 0.7005170583724976}]"
176345177,Interesting mix of survival and classical RTS with focus on epic battles like oldshoool LOTR games A lot of humor and memes adn nice style. Great design overall,"[{'label': '4 stars', 'score': 0.7009820342063904}]","[{'label': 'joy', 'score': 0.969670295715332}]"
176341436,big walls big towers big rocks and many corpses,"[{'label': '5 stars', 'score': 0.308540940284729}]","[{'label': 'anger', 'score': 0.556556761264801}]"
176340046,"Played for 2 hours - what can I say. The game has several modes, especially “endless”, there is a campaign, which was also interesting to play. Nice minimalistic graphics and music suitable for the game. The game is simple but interesting, reminiscent of the Stronghold series. The only thing is that I didn't immediately figure out how to mine stone, but that's just me personally.","[{'label': '4 stars', 'score': 0.5550148487091064}]","[{'label': 'neutral', 'score': 0.5396421551704407}]"
176311179,Its bad. New content is nonexistent and it gets repetitive really quick. At the moment I wouldn't recommend buying it.,"[{'label': '2 stars', 'score': 0.5678735971450806}]","[{'label': 'disgust', 'score': 0.8604092597961426}]"
176181140,ji,"[{'label': '3 stars', 'score': 0.25885435938835144}]","[{'label': 'neutral', 'score': 0.7672927379608154}]"
176155423,love the game lots of fun i really enjoyed it,"[{'label': '5 stars', 'score': 0.6526588201522827}]","[{'label': 'joy', 'score': 0.9917407035827637}]"
176123211,"fun, unique, and doesn't take itself too seriously devs seem chill too","[{'label': '4 stars', 'score': 0.5502129793167114}]","[{'label': 'joy', 'score': 0.9246392250061035}]"
176120590,"At the point, I'm just forced to give this game a negative review. I first bought this game in EA to support the game because I liked the idea, and the gameplay was kinda fun. However, the game has had 0 progression for almost 2 years. The dev should be ashamed. They put up all the update news to attract more attention and funds, yet I don't see them have any intention of completing the game. The campaign had 2 missions when first released, and now, 2024, still 2 missions.... with the same message telling you there will be more coming. Don't be fouled. This indie Dev don't deserve any support","[{'label': '1 star', 'score': 0.6043978929519653}]","[{'label': 'disgust', 'score': 0.4086734354496002}]"
176043756,quite boring after a short time. Every Round the same Gameplay.,"[{'label': '2 stars', 'score': 0.5668742060661316}]","[{'label': 'sadness', 'score': 0.8085612654685974}]"
175888323,Very good. COOP would be fun!,"[{'label': '4 stars', 'score': 0.6056079864501953}]","[{'label': 'joy', 'score': 0.9166120290756226}]"
175189823,Absolutely amazing,"[{'label': '5 stars', 'score': 0.945838212966919}]","[{'label': 'surprise', 'score': 0.7887464761734009}]"
175166487,nice game,"[{'label': '4 stars', 'score': 0.4888584017753601}]","[{'label': 'joy', 'score': 0.9014315009117126}]"
175106913,the game has been in development for years the devs don't seem to have any real interest or incentive in releasing any of their content by the time they decide the game is ready and they'll release it to the public no one will be interested anymore. myself im about ready to uninstall the game since i haven't touched it in about 2years.,"[{'label': '1 star', 'score': 0.5146899223327637}]","[{'label': 'sadness', 'score': 0.5543354153633118}]"
174954712,"most annoying AND satisfying game ever, needs some game settings to tweak the experience and a map editor, but really fun game.","[{'label': '4 stars', 'score': 0.6263231039047241}]","[{'label': 'joy', 'score': 0.9271413683891296}]"
174944145,cool,"[{'label': '5 stars', 'score': 0.49041467905044556}]","[{'label': 'neutral', 'score': 0.8529465198516846}]"
174905254,killing peasant fun,"[{'label': '5 stars', 'score': 0.3888397812843323}]","[{'label': 'anger', 'score': 0.6945504546165466}]"
174858949,Great game,"[{'label': '5 stars', 'score': 0.6704409122467041}]","[{'label': 'joy', 'score': 0.8924630880355835}]"
174832989,"I have fun with this. My six year old has fun with it. My four year old has fun with it. I think it will have staying power because of how much you can change or focus on. Different games within it, basically.","[{'label': '4 stars', 'score': 0.677426278591156}]","[{'label': 'joy', 'score': 0.8839429616928101}]"
174746956,"Game is really really good!! Only down side is the food shortage issue at the moment, it's a major problem to maintain food levels without the narrator kicking off in your ear. Hopefully the developers add in multiple ways to obtain food like hunting.","[{'label': '4 stars', 'score': 0.7946284413337708}]","[{'label': 'joy', 'score': 0.8150931596755981}]"
174736442,Not much playable at this point Shit game really,"[{'label': '1 star', 'score': 0.48892948031425476}]","[{'label': 'disgust', 'score': 0.4827841818332672}]"
174700147,"ehh, its an ok concept of a game, but rather limited in assets and fun to play a couple of times, then just becomes stale.","[{'label': '3 stars', 'score': 0.6693005561828613}]","[{'label': 'neutral', 'score': 0.5541442632675171}]"
174676083,its fun but i want the campaign lol,"[{'label': '3 stars', 'score': 0.5250903964042664}]","[{'label': 'joy', 'score': 0.9880754947662354}]"
174616882,Welcome to the new world order. Diplomacy is not an option.,"[{'label': '1 star', 'score': 0.39902740716934204}]","[{'label': 'neutral', 'score': 0.756813108921051}]"
174554503,"Apparently I bought and refunded this game a while ago. Not sure why steam is advertising it to me again. Regardless, I clearly didn't like it for some reason which I can no longer remember.","[{'label': '2 stars', 'score': 0.4451611042022705}]","[{'label': 'neutral', 'score': 0.620638906955719}]"
174499512,Finally a decent successor to They are Billions,"[{'label': '5 stars', 'score': 0.5519128441810608}]","[{'label': 'neutral', 'score': 0.904525876045227}]"
174459233,Protect your borders,"[{'label': '5 stars', 'score': 0.4945957362651825}]","[{'label': 'neutral', 'score': 0.8116703033447266}]"
174429354,Nice little game.,"[{'label': '4 stars', 'score': 0.5273189544677734}]","[{'label': 'joy', 'score': 0.8985095024108887}]"
174306046,"Fun game, looking forward to the full release!","[{'label': '4 stars', 'score': 0.5035987496376038}]","[{'label': 'joy', 'score': 0.9811437129974365}]"
174271451,Great game,"[{'label': '5 stars', 'score': 0.6704409122467041}]","[{'label': 'joy', 'score': 0.8924630880355835}]"
174241218,Stronghold on Booger Sugar O-O,"[{'label': '5 stars', 'score': 0.453496515750885}]","[{'label': 'neutral', 'score': 0.7743438482284546}]"
174187389,Great fun! Excited for the full campaign release but plenty to keep me busy until then.,"[{'label': '4 stars', 'score': 0.5234633088111877}]","[{'label': 'joy', 'score': 0.9810522794723511}]"
174087771,Game won't load any level after latest update.,"[{'label': '1 star', 'score': 0.6704244017601013}]","[{'label': 'neutral', 'score': 0.6125672459602356}]"
174026201,Good game. Had fun.,"[{'label': '4 stars', 'score': 0.6121906638145447}]","[{'label': 'joy', 'score': 0.9415704011917114}]"
174018799,"Seems fun so far, but: - Painfully slow cutscenes that you either have to skip and miss the story, or watch for minutes on end. There needs to be a skip-to-next-sentence function when you click the mouse or push enter or spacebar. - Resources aren't well explained - do berry bushes regrow? Do trees regrow or is wood a finite resource? What does a builder's house do? I can already build. How many resources does each picker house bring in per day? Why aren't my buildings being built - I have enough workers and resources, don't I? - Autorepair should repair walls that were destroyed. - Pushing escape to cancel an action keeps kicking me out to the main menu. - The balance is really bad - six easy enemy waves countered with hand of god laser beam spells. Then a final wave from all directions with catapults and trolls that none of your units can counter, and no spells left. Why are there even spells in a stronghold game - it makes all the defence building pointless when one click destroys their entire wave.","[{'label': '3 stars', 'score': 0.4855044484138489}]","[{'label': 'neutral', 'score': 0.6011507511138916}]"
173943667,A lot of fun,"[{'label': '4 stars', 'score': 0.4870140254497528}]","[{'label': 'joy', 'score': 0.9862563014030457}]"
173855891,*clicks tongue* noice,"[{'label': '1 star', 'score': 0.5034041404724121}]","[{'label': 'disgust', 'score': 0.5172741413116455}]"
